,id,title_fa,title_en,image_url,brand,category,price,shipment_methods,cpu,ram,gpu,storage,resolution,weight,size,screen_size,included_items,last_comment
0,12537925,لپ تاپ 15.6 اینچی لنوو مدل Ideapad 1-Celeron N4020 4GB 256SSD,Lenovo Ideapad 1-Celeron N4020 4GB 256SSD 15.6 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/e5dfffed0fe58135b9787887394f4db17be8c5dc_1693397601.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",91490000,موجود در انبار دیجی‌کالا,Celeron,چهار گیگابایت,Intel,256 گیگابایت,HD|1366x768,1.5 کیلوگرم,325x216x19.9 میلی‌متر ,15.6 اینچ ,"دفترچه راهنما / 
شارژر /
کابل شارژر

 ",بدک نیست کار راه اندازه فط باید یه رم یه هاردشو ارتقا بدی
1,11462509,لپ تاپ 15.6 اینچی ایسوس مدل X1500EP-EJ005W i5 12GB 512SSD MX330 - کاستوم شده,Asus X1500EP-EJ005W i5 12GB 512SSD MX330 15.6 inch laptop - Costomized,"https://dkstatics-public.digikala.com/digikala-products/557db426f5c96b31fccb445915f8c0443e2dae55_1685190694.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",ایسوس,"[LT,لپ تاپ و الترابوک]",315000000,موجود در انبار فروشنده و دیجی‌کالا,Core i5,12 گیگابایت,NVIDIA,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.8 کیلوگرم,360x235x19.9 میلی‌متر  ,"نرخ به‌روزرسانی تصویر: 60 هرتز
 ","شارژر،دفترچه راهنما،ماوس،پد ماوس،آنتی ویروس،برچسب کیبورد
 ","خودش لپ تاپ خوبیه اما تو مشخصات فنی نوشته بود اقلام همراهش آنتی ویروس و موس و ... است چیزی همراهش نبود و برداشته بودن.
چندبار تماس گرفتم گفتن خودمون تماس میگیریم اما در نهایت یه روز پیام دادن که با مرجوعی کلای شما موافقت شده در حالی که من مرجوع نکرده بودم.
خلاصه که اقلام همراه نداره و با این ویژگی میتونین ارزون تر بگیرید."
2,10062741,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 5 15ITL05-i7 16GB 512SSD MX450,Lenovo IdeaPad 5 15ITL05-i7 16GB 512SSD MX450 15.6 inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/ede8727eef9148be476a0a4e41a4c2975d923314_1670238949.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",335890000,موجود در انبار دیجی‌کالا,Core i7,16 گیگابایت,NVIDIA,512 گیگابایت,Full HD| 1920 x1080,1.66 کیلوگرم,356.67x233.13x17.9 ,15.6 اینچ ,شارژر / دفترچه راهنما ,خیلی خوب بود 
3,12406821,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRU8-i3 8GB 256SSD,Lenovo IdeaPad Slim 3 15IRU8-i3 8GB 256SSD 15.6 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/41d43012149f70c0f9bc1f3d9619b6746cc29674_1692203922.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",169000000,موجود در انبار دیجی‌کالا,Core i3,هشت گیگابایت,Intel,256 گیگابایت,1080 × 1920 پیکسل - Full HD,1.62 کیلوگرم,359x235x18 میلی‌متر ,15.6 اینچ ,آداپتور برق / دفترچه راهنما ,ممنون از دیجی کالا
4,10625676,لپ تاپ 15.6 اینچی اچ‌پی مدل G9 255 5Y3X4EA-R3 5425U 4GB 1HDD,HP 255 G9 5Y3X4EA-R3 5425U 4GB 1HDD 15.6 inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/4e7a116aaef3e0cbe29d45ec8ee0086e5106f7d8_1675682614.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",اچ‌ پی,"[LT,لپ تاپ و الترابوک]",165000000,موجود در انبار دیجی‌کالا,Ryzen 3,چهار گیگابایت,AMD,یک ترابایت,Full HD| 1920 x1080,1.74 کیلوگرم,358x 242 x19.9 میلی‌متر ,15.6 اینچ ,"شارژر / 
دفترچه راهنما ",عالی بود
5,9162588,لپ تاپ 15.6 اینچی لنوو مدل V15 IGL-Celeron N4020 4GB 256SSD,Lenovo V15 IGL-Celeron N4020 4GB 256SSD 15.6 inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/4c0ad8206701dbb56f2e6cc8a15db3a9ce7befec_1671470920.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",98000000,موجود در انبار دیجی‌کالا,Celeron,چهار گیگابایت,Intel,256 گیگابایت,HD|1366x768,1.85 کیلوگرم,362.2x251.5x19.9 میلی‌متر ,بدون حافظه‌ی گرافیکی مجزا ,"دفترچه راهنما /
شارژر ",امکاناتش نسبت به قیمت عالیه
6,12116861,لپ تاپ 15.6 اینچی لنوو مدل V15 G4 AMN-Athlon Silver 7120U 8GB 256SSD,Lenovo V15 G4 AMN-Athlon Silver 7120U 8GB 256SSD 15.6 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/f9d556a68cc4a507cc80981935cf68ae2e3d7711_1690028248.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",127500000,موجود در انبار دیجی‌کالا,ATHLON,هشت گیگابایت,AMD,256 گیگابایت,1080 × 1920 پیکسل - Full HD,1.6 کیلوگرم,359.2x235.8x19.9 میلی‌متر ,15.6 اینچ ,"دفترچه راهنما / 
شارژر / 
ماوس / 
برچسب فارسی کیبورد / 
آنتی ویروس / 
ماوس پد ",جز شارژر و دفترچه راهنما چیزی همراهش نبود
7,11017236,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 8GB 512SSD MX350,Lenovo IdeaPad 3 15ITL6-i5 8GB 512SSD MX350 15.6 Inch Laptop ,"https://dkstatics-public.digikala.com/digikala-products/22c0c56e176f8ef952f1dc494b86850fd50dd1dd_1680948451.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",234790000,موجود در انبار دیجی‌کالا,Core i5,هشت گیگابایت,NVIDIA,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.65 کیلوگرم,359.2x236.5x19.9 میلی‌متر ,15.6 اینچ ,شارژر / دفترچه راهنما ,بطور کلی برای کارهای روزمره خوبه
8,11653133,لپ تاپ 15.6 اینچی لنوو مدل V15 G3 IAP-i3 4GB 256SSD,Lenovo V15 G3 IAP-i3 4GB 256SSD 15.6 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/8ac843deb7afc386abd930dfea421c00e6e8b3f8_1686660799.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",179000000,موجود در انبار فروشنده و دیجی‌کالا,Core i3,چهار گیگابایت,Intel,256 گیگابایت,1080 × 1920 پیکسل - Full HD,1.7 کیلوگرم,359x236x19.9 میلی‌متر ,بدون حافظه‌ی گرافیکی مجزا ,شارژر / دفترچه راهنما ,پلمپ بود ۱۸ ماه گارانتی داشت
9,11281670,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 R1502ZA-BQ613-i5 16GB 512SSD Iris Xe - کاستوم شده,Asus Vivobook 15 R1502ZA-BQ613-i5 16GB 512SSD Iris Xe 15.6 Inch Laptop - Customized,"https://dkstatics-public.digikala.com/digikala-products/495a013227d3d5fce242b245a861fbf33639455e_1683532782.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",ایسوس,"[LT,لپ تاپ و الترابوک]",254990000,موجود در انبار دیجی‌کالا,Core i5,16 گیگابایت,Intel,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.7 کیلوگرم,19.9×232.5×359.7 میلی‌متر ,قابلیت Share تا هشت گیگابایت ,"دفترچه راهنما / شارژر

 ",اول کار برای نصب ویندوز کمی اذیت کرد و هارد رو تشخیص نمیداد که بعد از دانلود درایور از سایت ایسوس مشکل حل شد
10,10731349,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 16GB 512GB MX350 - کاستوم شده,Lenovo IdeaPad 3 15ITL6-i5 16GB 512GB MX350 15.6 Inch Laptop - Customized,"https://dkstatics-public.digikala.com/digikala-products/22c0c56e176f8ef952f1dc494b86850fd50dd1dd_1676981547.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",247990000,موجود در انبار دیجی‌کالا,Core i5,16 گیگابایت,NVIDIA,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.65 کیلوگرم,359.2x236.5x19.9 میلی‌متر ,15.6 اینچ ,شارژر ,فک نمیکردم انقد خوب باشه
11,9753435,لپ تاپ 15.6 اینچی ایسوس مدل VivoBook 15 R1502ZA-BQ613,Asus VivoBook 15 R1502ZA-BQ613 15.6 inch laptop,"https://dkstatics-public.digikala.com/digikala-products/f3ffc3a4c2d228319dfe8ebef24153380a10aa38_1667047583.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",ایسوس,"[LT,لپ تاپ و الترابوک]",249990000,موجود در انبار دیجی‌کالا,Core i5,8 گیگابایت,Intel,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.7 کیلوگرم,19.9 × 232.5 × 359.7 میلی‌متر ,15.6 اینچ ,"دفترچه راهنما, شارژر ",برگ گارانتی ارسال نشده است
12,11046581,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 5 15IAL7-i5 1235U 16GB 512SSD MX550,Lenovo IdeaPad 5 15IAL7-i5 1235U 16GB 512SSD MX550 15.6 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/423772272c275a2c884f53fa38bb70424d49c4aa_1705152130.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",314000000,موجود در انبار فروشنده,Core i5,16 گیگابایت,NVIDIA,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.85 کیلوگرم,16.9×233.1×356.6 میلی‌متر ,دو گیگابایت ," آداپتور (شارژر) به همراه کابل برق، دفترچه راهنما
 ",من قبل خرید برای این که میگفتن بدنه اش برق داره تردید داشتم چون تمام مشخصاتی که میخواستم با توجه به بودجه ام همین لپتاپ بود،اما وقتی رسید دستم تست کردم هیچ مشکلی نداشت،عالی همه چی
13,11116370,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 R1502ZA-EJ971-i5 1235U 8GB 512SSD,Asus Vivobook 15 R1502ZA-EJ971-i5 1235U 8GB 512SSD 15.6 Inch Laptop,"https://dkstatics-public.digikala.com/digikala-products/f4b282d3ee8ea3f20acec1b368de2b60b44d82f3_1681912377.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",ایسوس,"[LT,لپ تاپ و الترابوک]",260000000,موجود در انبار فروشنده,Core i5,هشت گیگابایت,Intel,512 گیگابایت,1080 × 1920 پیکسل - Full HD,1.7 کیلوگرم,19.9 × 232.5 × 359.7 میلی‌متر ,قابلیت Share تا چهار گیگابایت ,"شارژر / 
دفترچه راهنما ",هم از کیفیت و هم از قیمت کالا راضی ام
14,12305217,لپ تاپ 15.6 اینچی لنوو مدل LOQ 15IRH8-i7 32GB 1SSD RTX4050 - کاستوم شده,Lenovo LOQ 15IRH8-i7 32GB 1SSD RTX4050 15.6 Inch Laptop - Customized,"https://dkstatics-public.digikala.com/digikala-products/951d4b27eec4923631c20acd227679d4a7f6110d_1691477551.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/quality,q_90",لنوو,"[LT,لپ تاپ و الترابوک]",639000000,موجود در انبار فروشنده و دیجی‌کالا,Core i7,32 گیگابایت,NVIDIA,یک ترابایت,1080 × 1920 پیکسل - Full HD,2.4 کیلوگرم,359.6x264.8x25.2 میلی‌متر ,شش گیگابایت ,آداپتور 170 واتی / دفترچه راهنما ,عالیه همه چی تموم
